"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"67","life_expE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Average Life Expectancy","Tract","77.2 Years"
"68","badegreeE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Have Bachelors Degree","Tract","9.2% of Adults"
"69","hhincE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Median Household Income","Tract","$45,377"
"70","life_expE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Average Life Expectancy","Tract","75.7 Years"
"71","badegreeE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Have Bachelors Degree","Tract","13.7% of Adults"
"72","hhincE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Median Household Income","Tract","$42,540"
"73","life_expE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Average Life Expectancy","Tract","78.1 Years"
"74","badegreeE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Have Bachelors Degree","Tract","6.3% of Adults"
"75","hhincE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Median Household Income","Tract","$48,151"
"76","life_expE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Average Life Expectancy","Tract","80.3 Years"
"77","badegreeE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Have Bachelors Degree","Tract","18.2% of Adults"
"78","hhincE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Median Household Income","Tract","$51,212"
"79","life_expE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Average Life Expectancy","Tract","77.9 Years"
"80","badegreeE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Have Bachelors Degree","Tract","24.9% of Adults"
"81","hhincE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Median Household Income","Tract","$78,654"
"82","life_expE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Average Life Expectancy","Tract","85.3 Years"
"83","badegreeE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Have Bachelors Degree","Tract","48.1% of Adults"
"84","hhincE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Median Household Income","Tract","$77,466"
"85","life_expE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Average Life Expectancy","Tract","76.8 Years"
"86","badegreeE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Have Bachelors Degree","Tract","27.5% of Adults"
"87","hhincE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Median Household Income","Tract","$68,817"
"88","life_expE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Average Life Expectancy","Tract","NA Years"
"89","badegreeE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Have Bachelors Degree","Tract","27.2% of Adults"
"90","hhincE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Median Household Income","Tract","$68,906"
"91","life_expE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Average Life Expectancy","Tract","75.2 Years"
"92","badegreeE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Have Bachelors Degree","Tract","22.2% of Adults"
"93","hhincE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Median Household Income","Tract","$53,667"
"94","life_expE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Average Life Expectancy","Tract","84.7 Years"
"95","badegreeE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Have Bachelors Degree","Tract","22.3% of Adults"
"96","hhincE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Median Household Income","Tract","$59,949"
"97","life_expE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Average Life Expectancy","Tract","81.6 Years"
"98","badegreeE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Have Bachelors Degree","Tract","32.7% of Adults"
"99","hhincE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Median Household Income","Tract","$74,676"
